idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3577;JAWA TIMUR;MADIUN KOTA;20.24;0.69;0.16;57.4479253726536;46.85541817543772
3579;JAWA TIMUR;BATU KOTA;9.5;0.68;0.11;49.9517747712948;41.81331597308575
3601;BANTEN;PANDEGLANG ;14.05;0.07;0.05;33.4380850434393;40.7292026761505
3602;BANTEN;LEBAK ;16.8;0.25;0.11;34.6552298826981;43.044810393988236
3603;BANTEN;TANGERANG ;19.64;0.89;0.14;43.155368524313;47.45154590573948
3604;BANTEN;SERANG ;16.1;0.91;0.15;36.0995382210882;46.0047108474829
3671;BANTEN;TANGERANG KOTA;15.73;2.6;0.25;51.3794633045164;54.20945294513044
3672;BANTEN;CILEGON KOTA;16.07;0.7;0.31;49.7351581424193;45.63616365784018
3673;BANTEN;SERANG KOTA;9.2;1.9;0.09;41.9288275114742;47.355381062562444
3674;BANTEN;TANGERANG SELATAN KOTA;18.21;4.59;0.16;53.1882799990445;64.34753000045554
5101;BALI;JEMBRANA ;17.25;0.37;0.02;51.078854438416;43.4543906059186
5102;BALI;TABANAN ;21.74;0.47;0.02;53.8909701596574;45.93131586635145
5103;BALI;BADUNG ;17.5;1.45;0.07;60.4773135323633;48.859664207954125
5104;BALI;GIANYAR ;23.94;0.16;0.05;55.9314118221992;45.57050798600619
5105;BALI;KLUNGKUNG ;27.01;0.77;0.03;49.6945255657021;49.73982075445447
5106;BALI;BANGLI ;27.91;0.34;0.01;46.7560166086428;48.033731005066954
5107;BALI;KARANGASEM ;18.33;0.66;0.03;45.7546902317437;45.34453045903342
5108;BALI;BULELENG ;19.94;0.71;0.03;46.5982809772206;46.29941194966685
5201;NUSA TENGGARA BARAT;LOMBOK BARAT ;19.44;0.45;0.11;41.8071492480854;45.16731536374175
5202;NUSA TENGGARA BARAT;LOMBOK TENGAH ;13.32;0.15;0.03;38.6427021109909;40.701161246574465
